src,tgt
"Typical for the period, Kirby Muxloe Castle is more of a fortified house than a true castle.",作为那个时期的典型建筑，基比穆克斯洛城堡（Kirby Muxloe Castle）与其说是真正的城堡，不如说是一座防御性住宅。
"Its large glazed windows and thin walls would not have been able to resist a determined attack for long.",它的大型玻璃窗和薄墙无法长时间抵御有组织的猛烈攻击。
"In the 1480s, when its construction was begun by Lord Hastings, the country was relatively peaceful and defense was only required against small bands of roving marauders.",15世纪80年代，当黑斯廷斯勋爵开始建造它时，该国相对和平，只需防御小股流窜的劫匪。
"The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states.",均势是一种欧洲国家试图维护所有欧洲国家主权的体系。
"The concept was that all European nations had to seek to prevent one nation from becoming powerful, and thus national governments often changed their alliances in order to maintain the balance.",这一理念认为，所有欧洲国家都应防止某一国家变得过于强大，因此各国政府经常调整联盟关系，以维持力量平衡。
"The War of Spanish Succession marked the first war whose central issue was the balance of power.",西班牙王位继承战争标志着第一场以均势问题为核心的战争。
"This marked an important change, as European powers would no longer have the pretext of being religious wars. Thus, the Thirty Years' War would be the last war to be labeled a religious war.",这标志着一个重要变化，因为欧洲列强不再能够以宗教战争作为借口。因此，三十年战争将成为最后一场被称为宗教战争的战争。
"The temple of Artemis at Ephesus was destroyed on July 21, 356 BCE in an act of arson committed by Herostratus.",公元前356年7月21日，以弗所的阿尔忒弥斯神庙被赫罗斯特拉图斯（Herostratus）纵火焚毁。
"According to the story, his motivation was fame at any cost. The Ephesians, outraged, announced that Herostratus' name never be recorded.",据传，他的动机是为了不惜一切代价获得名声。愤怒的以弗所人宣布永远不记录赫罗斯特拉图斯的名字。
"The Greek historian Strabo later noted the name, which is how we know today. The temple was destroyed on the same night that Alexander the Great was born.",希腊历史学家斯特拉博后来记录了这个名字，因此我们今天才得以知晓。该神庙在亚历山大大帝出生的同一夜被毁。
"Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.",亚历山大大帝成为国王后曾提出出资重建神庙，但这一提议遭到拒绝。后来，在亚历山大去世后，神庙于公元前323年重建。
"Make sure your hand is as relaxed as possible while still hitting all the notes correctly - also try not to make much extraneous motion with your fingers.",确保你的手在准确弹奏所有音符的同时尽可能保持放松，也尽量避免手指做多余的动作。
"This way, you will tire yourself out as little as possible. Remember there's no need to hit the keys with a lot of force for extra volume like on the piano.",这样可以最大程度减少疲劳。记住，不需要像弹钢琴时为了增加音量那样用很大的力气敲击琴键。
"On the accordion, to get extra volume, you use the bellows with more pressure or speed.","在手风琴上，如果想获得更大的音量，需要以更大的力度或更快的速度拉动风箱。"
"Mysticism is the pursuit of communion with, identity with, or conscious awareness of an ultimate reality, divinity, spiritual truth, or God.","神秘主义是追求与终极实在、神性、精神真理或上帝建立联系、融为一体，或获得对其的自觉意识。"
"The believer seeks a direct experience, intuition, or insight into divine reality/the deity or dieties.","信徒寻求对神圣实在、神祇或诸神的直接体验、直觉感悟或深刻洞见。"
"Followers pursue certain ways of living, or practices that are intended to nurture those experiences.","追随者遵循某些生活方式或修行实践，以培养和深化这些体验。"
"Mysticism can be distinguished from other forms of religious belief and worship by its emphasis on the direct personal experience of a unique state of consciousness, particularly those of a peaceful, insightful, blissful, or even ecstatic character.","神秘主义与其他形式的宗教信仰和崇拜的区别在于，它强调个人直接体验一种独特的意识状态，尤其是平静、具有洞察力、幸福甚至狂喜的意识状态。"
"Sikhism is a religion from the Indian sub-continent. It originated in the Punjab region during the 15th century from a sectarian split within the Hindu tradition.","锡克教是一种起源于印度次大陆的宗教，于15世纪在旁遮普地区由印度教传统内部的一个宗派分化而产生。"
"Sikhs consider their faith to be a separate religion from Hinduism though they acknowledge its Hindu roots and traditions.","锡克教徒认为他们的信仰是独立于印度教之外的宗教，尽管他们承认锡克教具有印度教的根源和传统。"
"Sikhs call their religion Gurmat, which is Punjabi for ""way of the guru"". The guru is a fundamental aspect of all Indian religions but in Sikhism has taken on an importance that forms the core of Sikh beliefs.","锡克教徒称其宗教为Gurmat，在旁遮普语中意为“古鲁之道”。古鲁是所有印度宗教中的重要概念，但在锡克教中具有特殊地位，并构成了锡克教信仰的核心。"
"The religion was founded in the 15th century by Guru Nanak (1469–1539). There followed in succession a further nine gurus.","该宗教由古鲁·纳纳克（1469—1539年）于15世纪创立，之后又相继出现了九位古鲁。"
"However, in June 1956, Krushchev's promises were put to the test when riots in Poland, where workers were protesting against food shortages and wage cuts, turned into a general protest against Communism.","然而，1956年6月，当波兰因工人抗议食品短缺和工资削减而爆发的骚乱演变成一场反对共产主义的全面抗议时，赫鲁晓夫的承诺受到了考验。"
"Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister.","尽管最终赫鲁晓夫派出坦克恢复秩序，但他也满足了部分经济诉求，并同意任命深受民众支持的瓦迪斯瓦夫·哥穆尔卡为新总理。"
"The Indus Valley Civilization was a Bronze Age civilisation in the northwest Indian subcontinent encompassing most of modern-day Pakistan and some regions in northwest India and northeast Afghanistan.","印度河流域文明是青铜时代的一个文明，位于印度次大陆西北部，范围涵盖现代巴基斯坦的大部分地区，以及印度西北部和阿富汗东北部的一些区域。"
"The civilisation flourished in the basins of the Indus River wherefore it derives its name.","该文明繁盛于印度河流域，因此得名印度河流域文明。"
"Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.","尽管一些学者认为，由于该文明也存在于如今已经干涸的萨拉斯瓦蒂河流域，因此称其为“印度河—萨拉斯瓦蒂文明”更为恰当；另一些人则根据20世纪20年代最早发掘的遗址哈拉帕，将其称为“哈拉帕文明”。"
"The militaristic nature of the Roman empire aided in the development of medical advances.","罗马帝国的军事化性质推动了医学的发展与进步。"
"Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.","奥古斯都皇帝开始招募医生，甚至组建了第一支罗马医疗队，用于战后的救治工作。"
"Surgeons had knowledge of various sedatives including morphine from extracts of poppy seeds and scopolamine from herbane seeds.","外科医生掌握了多种镇静剂的使用知识，包括从罂粟种子提取的吗啡以及从莨菪种子提取的东莨菪碱。"
"They became proficient at amputation to save patients from gangrene as well as tourniquets and arterial clamps to stem blood flow.","他们熟练掌握了通过截肢挽救坏疽患者的方法，以及使用止血带和动脉夹来控制血流。"
"Over multiple centuries, the Roman empire led to great gains in the field of medicine and formed much of the knowledge we know today.","在数个世纪的发展过程中，罗马帝国推动了医学领域的巨大进步，并奠定了许多我们今天所知医学知识的基础。"
"Pureland origami is origami with the restriction that only one fold may be done at a time, more complex folds like reverse folds are not allowed, and all folds have straightforward locations.","净土折纸是一种具有严格限制的折纸形式：每次只能进行一次折叠，不允许进行反向折叠等复杂折法，并且所有折痕位置都必须明确且简单。"
